Группа1	Группа2	Группа3	Группа4	Группа5	Товар	Код	Артикул	ПолнНазв	РознЦена
Авто	Акустика	Alpine	 	 	Alpine SXE-1325S	00028614	 	Акустика Alpine SXE-1325S	1770
Авто	Акустика	Alpine	 	 	Alpine SXE-6925S	00028615	 	Акустика Alpine SXE-6925S	2680
Авто	Акустика	Ample	 	 	AMPLE AUDIO AC 52	00004837	 	Акустика AMPLE AUDIO AC 52	860
Авто	Акустика	Ample	 	 	AMPLE AUDIO AC 65	00004838	 	Акустика AMPLE AUDIO AC 65	1090
Авто	Акустика	Aviator	 	 	Aviator AC-400	00004839	 	Акустика Aviator AC-400	590
Авто	Акустика	Aviator	 	 	Aviator AC-600	00004840	 	Акустика Aviator AC-600	810
Авто	Акустика	Aviator	 	 	Aviator AW-300	00004841	 	Сабвуфер Aviator AW-300	1630
Авто	Акустика	Blues	 	 	Blues 15AC-1007-2	00013276	 	Акустика Blues 15AC-1007-2	350
Вода питьевая	Aqua Work	Aqua	 	 	Диспенсер AquaWork-37LD синий	00028663	 	Диспенсер AquaWork-37LD синий	5100
